asema	pvm	biomassa
25	2014-08-04	83.7562
25	2014-08-04	45.7009
25	2014-08-04	142.6572
25	2014-08-04	0.8724
25	2014-08-04	11.5108
25	2014-08-04	6.3712
25	2014-08-04	29.6892
25	2014-08-04	76.9497
25	2014-08-04	3.6244
25	2014-08-04	4.0293
25	2014-08-04	3.7986
25	2014-08-04	10.0565
25	2014-08-04	481.1294
25	2014-08-04	10.1675
25	2014-08-04	74.0322
25	2014-08-04	0.5634
25	2014-08-04	3.3313
25	2014-08-04	110.2102
25	2014-08-04	5.4216
25	2014-08-04	7.7698
25	2014-08-04	0.6027
25	2014-08-04	80.919
25	2014-08-04	58.7051
25	2014-08-04	2.4985
25	2014-08-04	0.2601
25	2014-08-04	1.5655
25	2014-08-04	19.0964
25	2014-08-04	21.5828
25	2014-08-04	4.1439
25	2014-08-04	20.1439
25	2014-08-04	3.1183
25	2014-08-04	38.7626
25	2014-08-04	4.0878
25	2014-08-04	5.4964
25	2014-08-04	6.9958
25	2014-08-04	75.9184
25	2014-08-04	8.0986
25	2014-08-04	53.0363
25	2014-08-26	29.1493
25	2014-08-26	95.6089
25	2014-08-26	0.7287
25	2014-08-26	200.1786
25	2014-08-26	0.4359
25	2014-08-26	5.2348
25	2014-08-26	21.3553
25	2014-08-26	122.0978
25	2014-08-26	0.8724
25	2014-08-26	14.0633
25	2014-08-26	10.9928
25	2014-08-26	1.985
25	2014-08-26	60.4395
25	2014-08-26	22.7914
25	2014-08-26	4.539
25	2014-08-26	22.6948
25	2014-08-26	14.8175
25	2014-08-26	31.968
25	2014-08-26	785.5754
25	2014-08-26	10.1985
25	2014-08-26	126.3023
25	2014-08-26	101.0936
25	2014-08-26	8.5399
25	2014-08-26	2.658
25	2014-08-26	10.7892
25	2014-08-26	3.9161
25	2014-08-26	6.7914
25	2014-08-26	1.7266
25	2014-08-26	2.4985
25	2014-08-26	1.5609
25	2014-08-26	1.5655
25	2014-08-26	31.8274
25	2014-08-26	15.4291
25	2014-08-26	187.0505
25	2014-08-26	3.5258
25	2014-08-26	6.446
25	2014-08-26	6.4593
25	2014-08-26	29.718
25	2014-08-26	3.7986
25	2014-08-26	6.5405
25	2014-08-26	5.4964
25	2014-08-26	14.3252
25	2014-08-26	2.6151
25	2014-08-26	8.2417
25	2014-08-26	57.3987
25	2014-08-26	304.9814
25	2014-08-26	130.5776
25	2014-08-26	8.8142
25	2014-09-29	3.6298
25	2014-09-29	1.166
25	2014-09-29	11.7813
25	2014-09-29	27.1079
25	2014-09-29	1.3076
25	2014-09-29	3.1302
25	2014-09-29	32.7272
25	2014-09-29	9.4905
25	2014-09-29	0.2908
25	2014-09-29	1.0619
25	2014-09-29	9.3755
25	2014-09-29	49.4677
