asema	pvm	paiva	kk	vuosi	kokosyv	secchi	ecoli	sameus	ph	suolaisuus	happi_aste	happi	nh3	no3	ntot	po4_liu	ptot	chla	lampotila	jaan_paks	lumen_paks	syvyys	syvyys_lop	no2	po4	koliformit	fek_strep	kiintoain	pt	tic	alkalit
114	2012-08-03	3	8	2012	48	NA	1	0.71	8.04	5.65	NA	9.79	10.2825	0	330	3	15.51	NA	14.1	NA	NA	10	10	0	9	NA	NA	NA	NA	NA	NA
114	2012-08-03	3	8	2012	48	NA	1	0.75	7.6	5.69	NA	8.88	19.169	3	290	11	22.75	NA	7.2	NA	NA	20	20	1.43	12	NA	NA	NA	NA	NA	NA
114	2012-08-03	3	8	2012	48	NA	0	0.86	7.55	5.75	NA	9.38	14.6535	4	290	13	25.085	NA	6.2	NA	NA	30	30	1.46	13	NA	NA	NA	NA	NA	NA
114	2012-08-03	3	8	2012	48	NA	0	0.97	7.56	5.83	NA	8.64	1.3925	3	350	13	23.35	NA	5	NA	NA	40	40	1.115	13	NA	NA	NA	NA	NA	NA
114	2012-08-03	3	8	2012	48	NA	0	2.27	7.46	5.96	NA	8.04	5.6165	5	290	20	34.21	NA	5	NA	NA	47	47	1.17	20	NA	NA	NA	NA	NA	NA
114	2012-08-21	21	8	2012	48	3.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.2	17.6	NA	NA	0	4	NA	NA	NA	NA	NA	NA	NA	NA
114	2012-09-04	4	9	2012	48	4.3	0	1.05	8.14	5.53	NA	9.73	11.918	2	300	2.9	19.75	NA	16.9	NA	NA	0	0	0	3.1	NA	NA	NA	NA	NA	NA
114	2012-09-04	4	9	2012	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.6	16.9	NA	NA	0	4	NA	NA	NA	NA	NA	NA	NA	NA
114	2012-09-04	4	9	2012	48	NA	1	0.97	8.12	5.52	NA	9.25	16.618	3	307	3.4	19.12	NA	16.9	NA	NA	5	5	0	3.5	NA	NA	NA	NA	NA	NA
114	2012-09-04	4	9	2012	48	NA	0	0.85	8.1	5.51	NA	9.24	16.466	2	309	3.5	19.095	NA	16.8	NA	NA	10	10	0	3.6	NA	NA	NA	NA	NA	NA
114	2012-09-04	4	9	2012	48	NA	0	0.86	8.06	5.58	NA	8.8	19.406	2	289	4.5	17.275	NA	16.4	NA	NA	20	20	0.13	4.5	NA	NA	NA	NA	NA	NA
114	2012-09-04	4	9	2012	48	NA	0	1.56	7.64	5.73	NA	7.68	23.4065	29	292	17	28.805	NA	11.2	NA	NA	30	30	0.935	18.5	NA	NA	NA	NA	NA	NA
114	2012-09-04	4	9	2012	48	NA	0	1.74	7.56	5.81	NA	7.58	26.3605	39	300	22	34.145	NA	9.7	NA	NA	40	40	0.83	25	NA	NA	NA	NA	NA	NA
114	2012-09-04	4	9	2012	48	NA	0	2.63	7.47	6.15	NA	7.11	21.799	64	320	35.2	51.06	NA	7.2	NA	NA	47	47	0.62	39.5	NA	NA	NA	NA	NA	NA
114	2012-09-19	19	9	2012	48	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4	13	NA	NA	0	4	NA	NA	NA	NA	NA	NA	NA	NA
114	2012-10-09	9	10	2012	48	5.2	1	1.04	7.93	5.58	NA	9.72	7.873	39	360	14	27.125	NA	11.9	NA	NA	0	0	2.85	13.521	NA	NA	NA	NA	NA	NA
114	2012-10-09	9	10	2012	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.4	11.9	NA	NA	0	4	NA	NA	NA	NA	NA	NA	NA	NA
114	2012-10-09	9	10	2012	48	NA	0	0.83	7.92	5.63	NA	9.88	6.3725	36	360	13	25.54	NA	12	NA	NA	5	5	2.885	13.978	NA	NA	NA	NA	NA	NA
114	2012-10-09	9	10	2012	48	NA	0	0.84	7.93	5.66	NA	9.89	7.8075	34	300	13	21.625	NA	12	NA	NA	10	10	2.875	12.621	NA	NA	NA	NA	NA	NA
114	2012-10-09	9	10	2012	48	NA	0	0.77	7.92	5.67	NA	9.9	10.6005	32	310	13	21.53	NA	12	NA	NA	20	20	2.975	14.1025	NA	NA	NA	NA	NA	NA
114	2012-10-09	9	10	2012	48	NA	0	0.71	7.92	5.7	NA	9.31	14.089	32	300	13	20.53	NA	12	NA	NA	30	30	2.98	12.831	NA	NA	NA	NA	NA	NA
114	2012-10-09	9	10	2012	48	NA	0	1.42	7.73	5.79	NA	8.07	5.6045	66	410	24	30.78	NA	10.6	NA	NA	40	40	2.125	26.1915	NA	NA	NA	NA	NA	NA
114	2012-10-09	9	10	2012	48	NA	0	1.61	7.69	5.86	NA	7.49	7.854	74	390	29	36.395	NA	9.9	NA	NA	47	47	2.06	30.84	NA	NA	NA	NA	NA	NA
114	2012-10-22	22	10	2012	48	5.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.2	11.2	NA	NA	0	4	NA	NA	NA	NA	NA	NA	NA	NA
114	2012-11-26	26	11	2012	48	5.9	1	0.72	7.82	5.86	NA	10.58	0	83	330	20	27.205	NA	7.6	NA	NA	0	0	0.275	21	NA	NA	NA	NA	NA	NA
114	2012-11-26	26	11	2012	48	NA	0	0.73	7.8	5.91	NA	10.29	0	85	320	21	27.845	NA	7.7	NA	NA	5	5	0.21	22	NA	NA	NA	NA	NA	NA
114	2012-11-26	26	11	2012	48	NA	0	0.76	7.77	5.97	NA	10.06	0	87	330	23	29.79	NA	7.9	NA	NA	10	10	0.235	23	NA	NA	NA	NA	NA	NA
114	2012-11-26	26	11	2012	48	NA	0	0.76	7.73	6.02	NA	9.71	0.066	92	330	26	32.075	NA	8	NA	NA	20	20	0	27	NA	NA	NA	NA	NA	NA
114	2012-11-26	26	11	2012	48	NA	1	1.09	7.76	6.04	NA	8.69	0.4475	92	340	25	32.19	NA	7.7	NA	NA	30	30	0.255	26	NA	NA	NA	NA	NA	NA
114	2012-11-26	26	11	2012	48	NA	0	1.15	7.75	6.05	NA	10.09	0	95	350	26	33.52	NA	7.7	NA	NA	40	40	0.315	27	NA	NA	NA	NA	NA	NA
114	2012-11-26	26	11	2012	48	NA	0	1.29	7.75	6.06	NA	10.12	1.061	98	360	27	34.295	NA	7.7	NA	NA	47	47	0.385	28	NA	NA	NA	NA	NA	NA
114	2012-12-01	1	12	2012	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
114	2012-12-01	1	12	2012	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	47	NA	NA	NA	NA	NA	NA	NA	NA
114	2013-01-01	1	1	2013	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
114	2013-01-01	1	1	2013	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	47	NA	NA	NA	NA	NA	NA	NA	NA
